Year,League,Champion
1983,NFL,Washington Redskins
1988,NFL,Washington Redskins
1992,NFL,Washington Redskins
2018,NHL,Washington Capitals
1978,NBA,Washington Bullets
1942,NHL,Toronto Maple Leafs
1945,NHL,Toronto Maple Leafs
1947,NHL,Toronto Maple Leafs
1948,NHL,Toronto Maple Leafs
1949,NHL,Toronto Maple Leafs
1951,NHL,Toronto Maple Leafs
1962,NHL,Toronto Maple Leafs
1963,NHL,Toronto Maple Leafs
1964,NHL,Toronto Maple Leafs
1967,NHL,Toronto Maple Leafs
1932,NHL,Toronto Maple Leafs
2004,NHL,Tampa Bay Lightning
2003,NFL,Tampa Bay Buccaneers
1955,NBA,Syracuse Nationals
2000,NFL,St. Louis Rams
1958,NBA,St. Louis Hawks
1979,NBA,Seattle SuperSonics
2014,NFL,Seattle Seahawks
1982,NFL,San Francisco 49ers
1985,NFL,San Francisco 49ers
1989,NFL,San Francisco 49ers
1990,NFL,San Francisco 49ers
1995,NFL,San Francisco 49ers
2014,NBA,San Antonio Spurs
2007,NBA,San Antonio Spurs
2005,NBA,San Antonio Spurs
2003,NBA,San Antonio Spurs
1999,NBA,San Antonio Spurs
1951,NBA,Rochester Royals
1977,NBA,Portland Trail Blazers
1975,NFL,Pittsburgh Steelers
1976,NFL,Pittsburgh Steelers
1979,NFL,Pittsburgh Steelers
1980,NFL,Pittsburgh Steelers
2006,NFL,Pittsburgh Steelers
2009,NFL,Pittsburgh Steelers
2009,NHL,Pittsburgh Penguins
2016,NHL,Pittsburgh Penguins
2017,NHL,Pittsburgh Penguins
1991,NHL,Pittsburgh Penguins
1992,NHL,Pittsburgh Penguins
1956,NBA,Philadelphia Warriors
1975,NHL,Philadelphia Flyers
1974,NHL,Philadelphia Flyers
2018,NFL,Philadelphia Eagles
1983,NBA,Philadelphia 76ers
1967,NBA,Philadelphia 76ers
1927,NHL,Ottawa Senators
1977,NFL,Oakland Raiders
1981,NFL,Oakland Raiders
1928,NHL,New York Rangers
1940,NHL,New York Rangers
1933,NHL,New York Rangers
1994,NHL,New York Rangers
1973,NBA,New York Knicks
1970,NBA,New York Knicks
1969,NFL,New York Jets
1980,NHL,New York Islanders
1981,NHL,New York Islanders
1982,NHL,New York Islanders
1983,NHL,New York Islanders
1987,NFL,New York Giants
1991,NFL,New York Giants
2008,NFL,New York Giants
2012,NFL,New York Giants
2010,NFL,New Orleans Saints
1995,NHL,New Jersey Devils
2000,NHL,New Jersey Devils
2003,NHL,New Jersey Devils
2002,NFL,New England Patriots
2004,NFL,New England Patriots
2005,NFL,New England Patriots
2015,NFL,New England Patriots
2017,NFL,New England Patriots
1935,NHL,Montreal Maroons
1953,NHL,Montreal Canadiens
1956,NHL,Montreal Canadiens
1957,NHL,Montreal Canadiens
1958,NHL,Montreal Canadiens
1959,NHL,Montreal Canadiens
1960,NHL,Montreal Canadiens
1965,NHL,Montreal Canadiens
1966,NHL,Montreal Canadiens
1944,NHL,Montreal Canadiens
1946,NHL,Montreal Canadiens
1930,NHL,Montreal Canadiens
1931,NHL,Montreal Canadiens
1968,NHL,Montreal Canadiens
1969,NHL,Montreal Canadiens
1971,NHL,Montreal Canadiens
1973,NHL,Montreal Canadiens
1976,NHL,Montreal Canadiens
1977,NHL,Montreal Canadiens
1978,NHL,Montreal Canadiens
1979,NHL,Montreal Canadiens
1986,NHL,Montreal Canadiens
1993,NHL,Montreal Canadiens
1954,NBA,Minneapolis Lakers
1953,NBA,Minneapolis Lakers
1952,NBA,Minneapolis Lakers
1950,NBA,Minneapolis Lakers
1971,NBA,Milwaukee Bucks
2013,NBA,Miami Heat
2012,NBA,Miami Heat
2006,NBA,Miami Heat
1973,NFL,Miami Dolphins
1974,NFL,Miami Dolphins
1984,NFL,Los Angeles Raiders
2010,NBA,Los Angeles Lakers
2009,NBA,Los Angeles Lakers
2002,NBA,Los Angeles Lakers
2001,NBA,Los Angeles Lakers
2000,NBA,Los Angeles Lakers
1988,NBA,Los Angeles Lakers
1987,NBA,Los Angeles Lakers
1985,NBA,Los Angeles Lakers
1982,NBA,Los Angeles Lakers
1980,NBA,Los Angeles Lakers
1972,NBA,Los Angeles Lakers
2012,NHL,Los Angeles Kings
2014,NHL,Los Angeles Kings
1970,NFL,Kansas City Chiefs
2007,NFL,Indianapolis Colts
1995,NBA,Houston Rockets
1994,NBA,Houston Rockets
1997,NFL,Green Bay Packers
2011,NFL,Green Bay Packers
1967,NFL,Green Bay Packers
1968,NFL,Green Bay Packers
2018,NBA,Golden State Warriors
2017,NBA,Golden State Warriors
2015,NBA,Golden State Warriors
1975,NBA,Golden State Warriors
1984,NHL,Edmonton Oilers
1985,NHL,Edmonton Oilers
1987,NHL,Edmonton Oilers
1988,NHL,Edmonton Oilers
1990,NHL,Edmonton Oilers
1950,NHL,Detroit Red Wings
