Year,League,Champion
1983,NFL,Washington Redskins
1988,NFL,Washington Redskins
1992,NFL,Washington Redskins
2003,NFL,Tampa Bay Buccaneers
2000,NFL,St. Louis Rams
2014,NFL,Seattle Seahawks
1982,NFL,San Francisco 49ers
1985,NFL,San Francisco 49ers
1989,NFL,San Francisco 49ers
1990,NFL,San Francisco 49ers
1995,NFL,San Francisco 49ers
1975,NFL,Pittsburgh Steelers
1976,NFL,Pittsburgh Steelers
1979,NFL,Pittsburgh Steelers
1980,NFL,Pittsburgh Steelers
2006,NFL,Pittsburgh Steelers
2009,NFL,Pittsburgh Steelers
2018,NFL,Philadelphia Eagles
1977,NFL,Oakland Raiders
1981,NFL,Oakland Raiders
1969,NFL,New York Jets
1987,NFL,New York Giants
1991,NFL,New York Giants
2008,NFL,New York Giants
2012,NFL,New York Giants
2010,NFL,New Orleans Saints
2002,NFL,New England Patriots
2004,NFL,New England Patriots
2005,NFL,New England Patriots
2015,NFL,New England Patriots
2017,NFL,New England Patriots
1973,NFL,Miami Dolphins
1974,NFL,Miami Dolphins
1984,NFL,Los Angeles Raiders
1970,NFL,Kansas City Chiefs
2007,NFL,Indianapolis Colts
1997,NFL,Green Bay Packers
2011,NFL,Green Bay Packers
1967,NFL,Green Bay Packers
1968,NFL,Green Bay Packers
1998,NFL,Denver Broncos
1999,NFL,Denver Broncos
2016,NFL,Denver Broncos
1972,NFL,Dallas Cowboys
1978,NFL,Dallas Cowboys
1993,NFL,Dallas Cowboys
1994,NFL,Dallas Cowboys
1996,NFL,Dallas Cowboys
1986,NFL,Chicago Bears
2001,NFL,Baltimore Ravens
2013,NFL,Baltimore Ravens
1971,NFL,Baltimore Colts
