Year,League,Champion
2018,NHL,Washington Capitals
1942,NHL,Toronto Maple Leafs
1945,NHL,Toronto Maple Leafs
1947,NHL,Toronto Maple Leafs
1948,NHL,Toronto Maple Leafs
1949,NHL,Toronto Maple Leafs
1951,NHL,Toronto Maple Leafs
1962,NHL,Toronto Maple Leafs
1963,NHL,Toronto Maple Leafs
1964,NHL,Toronto Maple Leafs
1967,NHL,Toronto Maple Leafs
1932,NHL,Toronto Maple Leafs
2004,NHL,Tampa Bay Lightning
2009,NHL,Pittsburgh Penguins
2016,NHL,Pittsburgh Penguins
2017,NHL,Pittsburgh Penguins
1991,NHL,Pittsburgh Penguins
1992,NHL,Pittsburgh Penguins
1975,NHL,Philadelphia Flyers
1974,NHL,Philadelphia Flyers
1927,NHL,Ottawa Senators
1928,NHL,New York Rangers
1940,NHL,New York Rangers
1933,NHL,New York Rangers
1994,NHL,New York Rangers
1980,NHL,New York Islanders
1981,NHL,New York Islanders
1982,NHL,New York Islanders
1983,NHL,New York Islanders
1995,NHL,New Jersey Devils
2000,NHL,New Jersey Devils
2003,NHL,New Jersey Devils
1935,NHL,Montreal Maroons
1953,NHL,Montreal Canadiens
1956,NHL,Montreal Canadiens
1957,NHL,Montreal Canadiens
1958,NHL,Montreal Canadiens
1959,NHL,Montreal Canadiens
1960,NHL,Montreal Canadiens
1965,NHL,Montreal Canadiens
1966,NHL,Montreal Canadiens
1944,NHL,Montreal Canadiens
1946,NHL,Montreal Canadiens
1930,NHL,Montreal Canadiens
1931,NHL,Montreal Canadiens
1968,NHL,Montreal Canadiens
1969,NHL,Montreal Canadiens
1971,NHL,Montreal Canadiens
1973,NHL,Montreal Canadiens
1976,NHL,Montreal Canadiens
1977,NHL,Montreal Canadiens
1978,NHL,Montreal Canadiens
1979,NHL,Montreal Canadiens
1986,NHL,Montreal Canadiens
1993,NHL,Montreal Canadiens
2012,NHL,Los Angeles Kings
2014,NHL,Los Angeles Kings
1984,NHL,Edmonton Oilers
1985,NHL,Edmonton Oilers
1987,NHL,Edmonton Oilers
1988,NHL,Edmonton Oilers
1990,NHL,Edmonton Oilers
1950,NHL,Detroit Red Wings
1952,NHL,Detroit Red Wings
1954,NHL,Detroit Red Wings
1955,NHL,Detroit Red Wings
1943,NHL,Detroit Red Wings
1936,NHL,Detroit Red Wings
1937,NHL,Detroit Red Wings
1997,NHL,Detroit Red Wings
1998,NHL,Detroit Red Wings
2002,NHL,Detroit Red Wings
2008,NHL,Detroit Red Wings
1999,NHL,Dallas Stars
1996,NHL,Colorado Avalanche
2001,NHL,Colorado Avalanche
1961,NHL,Chicago Black Hawks
1934,NHL,Chicago Black Hawks
1938,NHL,Chicago Black Hawks
2010,NHL,Chicago Black Hawks
2013,NHL,Chicago Black Hawks
2015,NHL,Chicago Black Hawks
2006,NHL,Carolina Hurricanes
1989,NHL,Calgary Flames
1939,NHL,Boston Bruins
1941,NHL,Boston Bruins
1929,NHL,Boston Bruins
1970,NHL,Boston Bruins
1972,NHL,Boston Bruins
2011,NHL,Boston Bruins
2007,NHL,Anaheim Ducks
